feature,label,boundary
./dataset/LARA/features/L01_S01_R01_A17_N01.npy,./dataset/LARA/gt_arr/L01_S01_R01_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L01_S01_R01_A17_N01.npy
./dataset/LARA/features/L01_S01_R02_A17_N01.npy,./dataset/LARA/gt_arr/L01_S01_R02_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L01_S01_R02_A17_N01.npy
./dataset/LARA/features/L01_S02_R01_A03_N01.npy,./dataset/LARA/gt_arr/L01_S02_R01_A03_N01.npy,./dataset/LARA/gt_boundary_arr/L01_S02_R01_A03_N01.npy
./dataset/LARA/features/L01_S02_R02_A03_N01.npy,./dataset/LARA/gt_arr/L01_S02_R02_A03_N01.npy,./dataset/LARA/gt_boundary_arr/L01_S02_R02_A03_N01.npy
./dataset/LARA/features/L01_S03_R01_A08_N01.npy,./dataset/LARA/gt_arr/L01_S03_R01_A08_N01.npy,./dataset/LARA/gt_boundary_arr/L01_S03_R01_A08_N01.npy
./dataset/LARA/features/L01_S03_R02_A08_N01.npy,./dataset/LARA/gt_arr/L01_S03_R02_A08_N01.npy,./dataset/LARA/gt_boundary_arr/L01_S03_R02_A08_N01.npy
./dataset/LARA/features/L02_S01_R03_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R03_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R03_A17_N01.npy
./dataset/LARA/features/L02_S01_R04_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R04_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R04_A17_N01.npy
./dataset/LARA/features/L02_S01_R05_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R05_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R05_A17_N01.npy
./dataset/LARA/features/L02_S01_R07_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R07_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R07_A17_N01.npy
./dataset/LARA/features/L02_S01_R08_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R08_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R08_A17_N01.npy
./dataset/LARA/features/L02_S01_R09_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R09_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R09_A17_N01.npy
./dataset/LARA/features/L02_S01_R10_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R10_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R10_A17_N01.npy
./dataset/LARA/features/L02_S01_R11_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R11_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R11_A17_N01.npy
./dataset/LARA/features/L02_S01_R12_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R12_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R12_A17_N01.npy
./dataset/LARA/features/L02_S01_R13_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R13_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R13_A17_N01.npy
./dataset/LARA/features/L02_S01_R14_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R14_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R14_A17_N01.npy
./dataset/LARA/features/L02_S01_R15_A17_N01.npy,./dataset/LARA/gt_arr/L02_S01_R15_A17_N01.npy,./dataset/LARA/gt_boundary_arr/L02_S01_R15_A17_N01.npy
