feature,label,boundary
./dataset/MCFS-22/features/n16_p01.npy,./dataset/MCFS-22/gt_arr/n16_p01.npy,./dataset/MCFS-22/gt_boundary_arr/n16_p01.npy
./dataset/MCFS-22/features/n37_p02.npy,./dataset/MCFS-22/gt_arr/n37_p02.npy,./dataset/MCFS-22/gt_boundary_arr/n37_p02.npy
./dataset/MCFS-22/features/n31_p03.npy,./dataset/MCFS-22/gt_arr/n31_p03.npy,./dataset/MCFS-22/gt_boundary_arr/n31_p03.npy
./dataset/MCFS-22/features/n37_p03.npy,./dataset/MCFS-22/gt_arr/n37_p03.npy,./dataset/MCFS-22/gt_boundary_arr/n37_p03.npy
./dataset/MCFS-22/features/n09_p07.npy,./dataset/MCFS-22/gt_arr/n09_p07.npy,./dataset/MCFS-22/gt_boundary_arr/n09_p07.npy
./dataset/MCFS-22/features/n22_p01.npy,./dataset/MCFS-22/gt_arr/n22_p01.npy,./dataset/MCFS-22/gt_boundary_arr/n22_p01.npy
./dataset/MCFS-22/features/n08_p01.npy,./dataset/MCFS-22/gt_arr/n08_p01.npy,./dataset/MCFS-22/gt_boundary_arr/n08_p01.npy
./dataset/MCFS-22/features/n19_p04.npy,./dataset/MCFS-22/gt_arr/n19_p04.npy,./dataset/MCFS-22/gt_boundary_arr/n19_p04.npy
./dataset/MCFS-22/features/n13_p09.npy,./dataset/MCFS-22/gt_arr/n13_p09.npy,./dataset/MCFS-22/gt_boundary_arr/n13_p09.npy
./dataset/MCFS-22/features/n27_p06.npy,./dataset/MCFS-22/gt_arr/n27_p06.npy,./dataset/MCFS-22/gt_boundary_arr/n27_p06.npy
./dataset/MCFS-22/features/n03_p04.npy,./dataset/MCFS-22/gt_arr/n03_p04.npy,./dataset/MCFS-22/gt_boundary_arr/n03_p04.npy
./dataset/MCFS-22/features/n02_p04.npy,./dataset/MCFS-22/gt_arr/n02_p04.npy,./dataset/MCFS-22/gt_boundary_arr/n02_p04.npy
./dataset/MCFS-22/features/n33_p18.npy,./dataset/MCFS-22/gt_arr/n33_p18.npy,./dataset/MCFS-22/gt_boundary_arr/n33_p18.npy
./dataset/MCFS-22/features/n30_p12.npy,./dataset/MCFS-22/gt_arr/n30_p12.npy,./dataset/MCFS-22/gt_boundary_arr/n30_p12.npy
./dataset/MCFS-22/features/n28_p04.npy,./dataset/MCFS-22/gt_arr/n28_p04.npy,./dataset/MCFS-22/gt_boundary_arr/n28_p04.npy
./dataset/MCFS-22/features/n33_p13.npy,./dataset/MCFS-22/gt_arr/n33_p13.npy,./dataset/MCFS-22/gt_boundary_arr/n33_p13.npy
./dataset/MCFS-22/features/n13_p05.npy,./dataset/MCFS-22/gt_arr/n13_p05.npy,./dataset/MCFS-22/gt_boundary_arr/n13_p05.npy
./dataset/MCFS-22/features/n17_p05.npy,./dataset/MCFS-22/gt_arr/n17_p05.npy,./dataset/MCFS-22/gt_boundary_arr/n17_p05.npy
./dataset/MCFS-22/features/n11_p05.npy,./dataset/MCFS-22/gt_arr/n11_p05.npy,./dataset/MCFS-22/gt_boundary_arr/n11_p05.npy
./dataset/MCFS-22/features/n31_p06.npy,./dataset/MCFS-22/gt_arr/n31_p06.npy,./dataset/MCFS-22/gt_boundary_arr/n31_p06.npy
./dataset/MCFS-22/features/n33_p24.npy,./dataset/MCFS-22/gt_arr/n33_p24.npy,./dataset/MCFS-22/gt_boundary_arr/n33_p24.npy
./dataset/MCFS-22/features/n17_p02.npy,./dataset/MCFS-22/gt_arr/n17_p02.npy,./dataset/MCFS-22/gt_boundary_arr/n17_p02.npy
./dataset/MCFS-22/features/n27_p04.npy,./dataset/MCFS-22/gt_arr/n27_p04.npy,./dataset/MCFS-22/gt_boundary_arr/n27_p04.npy
./dataset/MCFS-22/features/n35_p04.npy,./dataset/MCFS-22/gt_arr/n35_p04.npy,./dataset/MCFS-22/gt_boundary_arr/n35_p04.npy
