feature,label,boundary
./dataset/PKU-subject/features/A01N01-L.npy,./dataset/PKU-subject/gt_arr/A01N01-L.npy,./dataset/PKU-subject/gt_boundary_arr/A01N01-L.npy
./dataset/PKU-subject/features/A01N01-M.npy,./dataset/PKU-subject/gt_arr/A01N01-M.npy,./dataset/PKU-subject/gt_boundary_arr/A01N01-M.npy
./dataset/PKU-subject/features/A01N01-R.npy,./dataset/PKU-subject/gt_arr/A01N01-R.npy,./dataset/PKU-subject/gt_boundary_arr/A01N01-R.npy
./dataset/PKU-subject/features/A01N04-L.npy,./dataset/PKU-subject/gt_arr/A01N04-L.npy,./dataset/PKU-subject/gt_boundary_arr/A01N04-L.npy
./dataset/PKU-subject/features/A01N04-M.npy,./dataset/PKU-subject/gt_arr/A01N04-M.npy,./dataset/PKU-subject/gt_boundary_arr/A01N04-M.npy
./dataset/PKU-subject/features/A01N04-R.npy,./dataset/PKU-subject/gt_arr/A01N04-R.npy,./dataset/PKU-subject/gt_boundary_arr/A01N04-R.npy
./dataset/PKU-subject/features/A01N05-L.npy,./dataset/PKU-subject/gt_arr/A01N05-L.npy,./dataset/PKU-subject/gt_boundary_arr/A01N05-L.npy
./dataset/PKU-subject/features/A01N05-M.npy,./dataset/PKU-subject/gt_arr/A01N05-M.npy,./dataset/PKU-subject/gt_boundary_arr/A01N05-M.npy
./dataset/PKU-subject/features/A01N05-R.npy,./dataset/PKU-subject/gt_arr/A01N05-R.npy,./dataset/PKU-subject/gt_boundary_arr/A01N05-R.npy
./dataset/PKU-subject/features/A01N06-M.npy,./dataset/PKU-subject/gt_arr/A01N06-M.npy,./dataset/PKU-subject/gt_boundary_arr/A01N06-M.npy
./dataset/PKU-subject/features/A01N06-R.npy,./dataset/PKU-subject/gt_arr/A01N06-R.npy,./dataset/PKU-subject/gt_boundary_arr/A01N06-R.npy
./dataset/PKU-subject/features/A01N08-L.npy,./dataset/PKU-subject/gt_arr/A01N08-L.npy,./dataset/PKU-subject/gt_boundary_arr/A01N08-L.npy
./dataset/PKU-subject/features/A01N08-M.npy,./dataset/PKU-subject/gt_arr/A01N08-M.npy,./dataset/PKU-subject/gt_boundary_arr/A01N08-M.npy
./dataset/PKU-subject/features/A01N08-R.npy,./dataset/PKU-subject/gt_arr/A01N08-R.npy,./dataset/PKU-subject/gt_boundary_arr/A01N08-R.npy
./dataset/PKU-subject/features/A01N09-L.npy,./dataset/PKU-subject/gt_arr/A01N09-L.npy,./dataset/PKU-subject/gt_boundary_arr/A01N09-L.npy
./dataset/PKU-subject/features/A01N09-M.npy,./dataset/PKU-subject/gt_arr/A01N09-M.npy,./dataset/PKU-subject/gt_boundary_arr/A01N09-M.npy
./dataset/PKU-subject/features/A01N09-R.npy,./dataset/PKU-subject/gt_arr/A01N09-R.npy,./dataset/PKU-subject/gt_boundary_arr/A01N09-R.npy
./dataset/PKU-subject/features/A01N10-L.npy,./dataset/PKU-subject/gt_arr/A01N10-L.npy,./dataset/PKU-subject/gt_boundary_arr/A01N10-L.npy
./dataset/PKU-subject/features/A01N10-R.npy,./dataset/PKU-subject/gt_arr/A01N10-R.npy,./dataset/PKU-subject/gt_boundary_arr/A01N10-R.npy
./dataset/PKU-subject/features/A01N11-L.npy,./dataset/PKU-subject/gt_arr/A01N11-L.npy,./dataset/PKU-subject/gt_boundary_arr/A01N11-L.npy
./dataset/PKU-subject/features/A01N11-M.npy,./dataset/PKU-subject/gt_arr/A01N11-M.npy,./dataset/PKU-subject/gt_boundary_arr/A01N11-M.npy
./dataset/PKU-subject/features/A01N11-R.npy,./dataset/PKU-subject/gt_arr/A01N11-R.npy,./dataset/PKU-subject/gt_boundary_arr/A01N11-R.npy
./dataset/PKU-subject/features/A01N12-L.npy,./dataset/PKU-subject/gt_arr/A01N12-L.npy,./dataset/PKU-subject/gt_boundary_arr/A01N12-L.npy
./dataset/PKU-subject/features/A01N12-M.npy,./dataset/PKU-subject/gt_arr/A01N12-M.npy,./dataset/PKU-subject/gt_boundary_arr/A01N12-M.npy
./dataset/PKU-subject/features/A01N12-R.npy,./dataset/PKU-subject/gt_arr/A01N12-R.npy,./dataset/PKU-subject/gt_boundary_arr/A01N12-R.npy
./dataset/PKU-subject/features/A01N13-L.npy,./dataset/PKU-subject/gt_arr/A01N13-L.npy,./dataset/PKU-subject/gt_boundary_arr/A01N13-L.npy
./dataset/PKU-subject/features/A01N13-M.npy,./dataset/PKU-subject/gt_arr/A01N13-M.npy,./dataset/PKU-subject/gt_boundary_arr/A01N13-M.npy
./dataset/PKU-subject/features/A02N01-L.npy,./dataset/PKU-subject/gt_arr/A02N01-L.npy,./dataset/PKU-subject/gt_boundary_arr/A02N01-L.npy
./dataset/PKU-subject/features/A02N01-M.npy,./dataset/PKU-subject/gt_arr/A02N01-M.npy,./dataset/PKU-subject/gt_boundary_arr/A02N01-M.npy
./dataset/PKU-subject/features/A02N01-R.npy,./dataset/PKU-subject/gt_arr/A02N01-R.npy,./dataset/PKU-subject/gt_boundary_arr/A02N01-R.npy
./dataset/PKU-subject/features/A02N04-L.npy,./dataset/PKU-subject/gt_arr/A02N04-L.npy,./dataset/PKU-subject/gt_boundary_arr/A02N04-L.npy
./dataset/PKU-subject/features/A02N04-M.npy,./dataset/PKU-subject/gt_arr/A02N04-M.npy,./dataset/PKU-subject/gt_boundary_arr/A02N04-M.npy
./dataset/PKU-subject/features/A02N04-R.npy,./dataset/PKU-subject/gt_arr/A02N04-R.npy,./dataset/PKU-subject/gt_boundary_arr/A02N04-R.npy
./dataset/PKU-subject/features/A02N05-L.npy,./dataset/PKU-subject/gt_arr/A02N05-L.npy,./dataset/PKU-subject/gt_boundary_arr/A02N05-L.npy
./dataset/PKU-subject/features/A02N05-M.npy,./dataset/PKU-subject/gt_arr/A02N05-M.npy,./dataset/PKU-subject/gt_boundary_arr/A02N05-M.npy
./dataset/PKU-subject/features/A02N05-R.npy,./dataset/PKU-subject/gt_arr/A02N05-R.npy,./dataset/PKU-subject/gt_boundary_arr/A02N05-R.npy
./dataset/PKU-subject/features/A02N06-M.npy,./dataset/PKU-subject/gt_arr/A02N06-M.npy,./dataset/PKU-subject/gt_boundary_arr/A02N06-M.npy
./dataset/PKU-subject/features/A02N06-R.npy,./dataset/PKU-subject/gt_arr/A02N06-R.npy,./dataset/PKU-subject/gt_boundary_arr/A02N06-R.npy
./dataset/PKU-subject/features/A02N08-L.npy,./dataset/PKU-subject/gt_arr/A02N08-L.npy,./dataset/PKU-subject/gt_boundary_arr/A02N08-L.npy
./dataset/PKU-subject/features/A02N08-M.npy,./dataset/PKU-subject/gt_arr/A02N08-M.npy,./dataset/PKU-subject/gt_boundary_arr/A02N08-M.npy
./dataset/PKU-subject/features/A02N08-R.npy,./dataset/PKU-subject/gt_arr/A02N08-R.npy,./dataset/PKU-subject/gt_boundary_arr/A02N08-R.npy
./dataset/PKU-subject/features/A02N09-L.npy,./dataset/PKU-subject/gt_arr/A02N09-L.npy,./dataset/PKU-subject/gt_boundary_arr/A02N09-L.npy
./dataset/PKU-subject/features/A02N09-M.npy,./dataset/PKU-subject/gt_arr/A02N09-M.npy,./dataset/PKU-subject/gt_boundary_arr/A02N09-M.npy
./dataset/PKU-subject/features/A02N09-R.npy,./dataset/PKU-subject/gt_arr/A02N09-R.npy,./dataset/PKU-subject/gt_boundary_arr/A02N09-R.npy
./dataset/PKU-subject/features/A02N10-L.npy,./dataset/PKU-subject/gt_arr/A02N10-L.npy,./dataset/PKU-subject/gt_boundary_arr/A02N10-L.npy
./dataset/PKU-subject/features/A02N10-R.npy,./dataset/PKU-subject/gt_arr/A02N10-R.npy,./dataset/PKU-subject/gt_boundary_arr/A02N10-R.npy
./dataset/PKU-subject/features/A02N11-L.npy,./dataset/PKU-subject/gt_arr/A02N11-L.npy,./dataset/PKU-subject/gt_boundary_arr/A02N11-L.npy
./dataset/PKU-subject/features/A02N11-M.npy,./dataset/PKU-subject/gt_arr/A02N11-M.npy,./dataset/PKU-subject/gt_boundary_arr/A02N11-M.npy
./dataset/PKU-subject/features/A02N11-R.npy,./dataset/PKU-subject/gt_arr/A02N11-R.npy,./dataset/PKU-subject/gt_boundary_arr/A02N11-R.npy
./dataset/PKU-subject/features/A02N12-L.npy,./dataset/PKU-subject/gt_arr/A02N12-L.npy,./dataset/PKU-subject/gt_boundary_arr/A02N12-L.npy
./dataset/PKU-subject/features/A02N12-M.npy,./dataset/PKU-subject/gt_arr/A02N12-M.npy,./dataset/PKU-subject/gt_boundary_arr/A02N12-M.npy
./dataset/PKU-subject/features/A02N12-R.npy,./dataset/PKU-subject/gt_arr/A02N12-R.npy,./dataset/PKU-subject/gt_boundary_arr/A02N12-R.npy
./dataset/PKU-subject/features/A02N13-L.npy,./dataset/PKU-subject/gt_arr/A02N13-L.npy,./dataset/PKU-subject/gt_boundary_arr/A02N13-L.npy
./dataset/PKU-subject/features/A02N13-M.npy,./dataset/PKU-subject/gt_arr/A02N13-M.npy,./dataset/PKU-subject/gt_boundary_arr/A02N13-M.npy
./dataset/PKU-subject/features/A03N01-L.npy,./dataset/PKU-subject/gt_arr/A03N01-L.npy,./dataset/PKU-subject/gt_boundary_arr/A03N01-L.npy
./dataset/PKU-subject/features/A03N01-M.npy,./dataset/PKU-subject/gt_arr/A03N01-M.npy,./dataset/PKU-subject/gt_boundary_arr/A03N01-M.npy
./dataset/PKU-subject/features/A03N01-R.npy,./dataset/PKU-subject/gt_arr/A03N01-R.npy,./dataset/PKU-subject/gt_boundary_arr/A03N01-R.npy
./dataset/PKU-subject/features/A03N04-L.npy,./dataset/PKU-subject/gt_arr/A03N04-L.npy,./dataset/PKU-subject/gt_boundary_arr/A03N04-L.npy
./dataset/PKU-subject/features/A03N04-M.npy,./dataset/PKU-subject/gt_arr/A03N04-M.npy,./dataset/PKU-subject/gt_boundary_arr/A03N04-M.npy
./dataset/PKU-subject/features/A03N04-R.npy,./dataset/PKU-subject/gt_arr/A03N04-R.npy,./dataset/PKU-subject/gt_boundary_arr/A03N04-R.npy
./dataset/PKU-subject/features/A03N05-L.npy,./dataset/PKU-subject/gt_arr/A03N05-L.npy,./dataset/PKU-subject/gt_boundary_arr/A03N05-L.npy
./dataset/PKU-subject/features/A03N05-M.npy,./dataset/PKU-subject/gt_arr/A03N05-M.npy,./dataset/PKU-subject/gt_boundary_arr/A03N05-M.npy
./dataset/PKU-subject/features/A03N05-R.npy,./dataset/PKU-subject/gt_arr/A03N05-R.npy,./dataset/PKU-subject/gt_boundary_arr/A03N05-R.npy
./dataset/PKU-subject/features/A03N06-M.npy,./dataset/PKU-subject/gt_arr/A03N06-M.npy,./dataset/PKU-subject/gt_boundary_arr/A03N06-M.npy
./dataset/PKU-subject/features/A03N06-R.npy,./dataset/PKU-subject/gt_arr/A03N06-R.npy,./dataset/PKU-subject/gt_boundary_arr/A03N06-R.npy
./dataset/PKU-subject/features/A03N08-L.npy,./dataset/PKU-subject/gt_arr/A03N08-L.npy,./dataset/PKU-subject/gt_boundary_arr/A03N08-L.npy
./dataset/PKU-subject/features/A03N08-M.npy,./dataset/PKU-subject/gt_arr/A03N08-M.npy,./dataset/PKU-subject/gt_boundary_arr/A03N08-M.npy
./dataset/PKU-subject/features/A03N08-R.npy,./dataset/PKU-subject/gt_arr/A03N08-R.npy,./dataset/PKU-subject/gt_boundary_arr/A03N08-R.npy
./dataset/PKU-subject/features/A03N09-L.npy,./dataset/PKU-subject/gt_arr/A03N09-L.npy,./dataset/PKU-subject/gt_boundary_arr/A03N09-L.npy
./dataset/PKU-subject/features/A03N09-M.npy,./dataset/PKU-subject/gt_arr/A03N09-M.npy,./dataset/PKU-subject/gt_boundary_arr/A03N09-M.npy
./dataset/PKU-subject/features/A03N09-R.npy,./dataset/PKU-subject/gt_arr/A03N09-R.npy,./dataset/PKU-subject/gt_boundary_arr/A03N09-R.npy
./dataset/PKU-subject/features/A03N10-L.npy,./dataset/PKU-subject/gt_arr/A03N10-L.npy,./dataset/PKU-subject/gt_boundary_arr/A03N10-L.npy
./dataset/PKU-subject/features/A03N10-R.npy,./dataset/PKU-subject/gt_arr/A03N10-R.npy,./dataset/PKU-subject/gt_boundary_arr/A03N10-R.npy
./dataset/PKU-subject/features/A03N11-L.npy,./dataset/PKU-subject/gt_arr/A03N11-L.npy,./dataset/PKU-subject/gt_boundary_arr/A03N11-L.npy
./dataset/PKU-subject/features/A03N11-M.npy,./dataset/PKU-subject/gt_arr/A03N11-M.npy,./dataset/PKU-subject/gt_boundary_arr/A03N11-M.npy
./dataset/PKU-subject/features/A03N11-R.npy,./dataset/PKU-subject/gt_arr/A03N11-R.npy,./dataset/PKU-subject/gt_boundary_arr/A03N11-R.npy
./dataset/PKU-subject/features/A03N12-L.npy,./dataset/PKU-subject/gt_arr/A03N12-L.npy,./dataset/PKU-subject/gt_boundary_arr/A03N12-L.npy
./dataset/PKU-subject/features/A03N12-M.npy,./dataset/PKU-subject/gt_arr/A03N12-M.npy,./dataset/PKU-subject/gt_boundary_arr/A03N12-M.npy
./dataset/PKU-subject/features/A03N12-R.npy,./dataset/PKU-subject/gt_arr/A03N12-R.npy,./dataset/PKU-subject/gt_boundary_arr/A03N12-R.npy
./dataset/PKU-subject/features/A03N13-L.npy,./dataset/PKU-subject/gt_arr/A03N13-L.npy,./dataset/PKU-subject/gt_boundary_arr/A03N13-L.npy
./dataset/PKU-subject/features/A03N13-M.npy,./dataset/PKU-subject/gt_arr/A03N13-M.npy,./dataset/PKU-subject/gt_boundary_arr/A03N13-M.npy
./dataset/PKU-subject/features/A04N01-L.npy,./dataset/PKU-subject/gt_arr/A04N01-L.npy,./dataset/PKU-subject/gt_boundary_arr/A04N01-L.npy
./dataset/PKU-subject/features/A04N01-M.npy,./dataset/PKU-subject/gt_arr/A04N01-M.npy,./dataset/PKU-subject/gt_boundary_arr/A04N01-M.npy
./dataset/PKU-subject/features/A04N01-R.npy,./dataset/PKU-subject/gt_arr/A04N01-R.npy,./dataset/PKU-subject/gt_boundary_arr/A04N01-R.npy
./dataset/PKU-subject/features/A04N04-L.npy,./dataset/PKU-subject/gt_arr/A04N04-L.npy,./dataset/PKU-subject/gt_boundary_arr/A04N04-L.npy
./dataset/PKU-subject/features/A04N04-M.npy,./dataset/PKU-subject/gt_arr/A04N04-M.npy,./dataset/PKU-subject/gt_boundary_arr/A04N04-M.npy
./dataset/PKU-subject/features/A04N04-R.npy,./dataset/PKU-subject/gt_arr/A04N04-R.npy,./dataset/PKU-subject/gt_boundary_arr/A04N04-R.npy
./dataset/PKU-subject/features/A04N05-L.npy,./dataset/PKU-subject/gt_arr/A04N05-L.npy,./dataset/PKU-subject/gt_boundary_arr/A04N05-L.npy
./dataset/PKU-subject/features/A04N05-M.npy,./dataset/PKU-subject/gt_arr/A04N05-M.npy,./dataset/PKU-subject/gt_boundary_arr/A04N05-M.npy
./dataset/PKU-subject/features/A04N05-R.npy,./dataset/PKU-subject/gt_arr/A04N05-R.npy,./dataset/PKU-subject/gt_boundary_arr/A04N05-R.npy
./dataset/PKU-subject/features/A04N06-M.npy,./dataset/PKU-subject/gt_arr/A04N06-M.npy,./dataset/PKU-subject/gt_boundary_arr/A04N06-M.npy
./dataset/PKU-subject/features/A04N06-R.npy,./dataset/PKU-subject/gt_arr/A04N06-R.npy,./dataset/PKU-subject/gt_boundary_arr/A04N06-R.npy
./dataset/PKU-subject/features/A04N08-L.npy,./dataset/PKU-subject/gt_arr/A04N08-L.npy,./dataset/PKU-subject/gt_boundary_arr/A04N08-L.npy
./dataset/PKU-subject/features/A04N08-M.npy,./dataset/PKU-subject/gt_arr/A04N08-M.npy,./dataset/PKU-subject/gt_boundary_arr/A04N08-M.npy
./dataset/PKU-subject/features/A04N08-R.npy,./dataset/PKU-subject/gt_arr/A04N08-R.npy,./dataset/PKU-subject/gt_boundary_arr/A04N08-R.npy
./dataset/PKU-subject/features/A04N09-L.npy,./dataset/PKU-subject/gt_arr/A04N09-L.npy,./dataset/PKU-subject/gt_boundary_arr/A04N09-L.npy
./dataset/PKU-subject/features/A04N09-M.npy,./dataset/PKU-subject/gt_arr/A04N09-M.npy,./dataset/PKU-subject/gt_boundary_arr/A04N09-M.npy
./dataset/PKU-subject/features/A04N09-R.npy,./dataset/PKU-subject/gt_arr/A04N09-R.npy,./dataset/PKU-subject/gt_boundary_arr/A04N09-R.npy
./dataset/PKU-subject/features/A04N10-L.npy,./dataset/PKU-subject/gt_arr/A04N10-L.npy,./dataset/PKU-subject/gt_boundary_arr/A04N10-L.npy
./dataset/PKU-subject/features/A04N10-R.npy,./dataset/PKU-subject/gt_arr/A04N10-R.npy,./dataset/PKU-subject/gt_boundary_arr/A04N10-R.npy
./dataset/PKU-subject/features/A04N11-L.npy,./dataset/PKU-subject/gt_arr/A04N11-L.npy,./dataset/PKU-subject/gt_boundary_arr/A04N11-L.npy
./dataset/PKU-subject/features/A04N11-M.npy,./dataset/PKU-subject/gt_arr/A04N11-M.npy,./dataset/PKU-subject/gt_boundary_arr/A04N11-M.npy
./dataset/PKU-subject/features/A04N11-R.npy,./dataset/PKU-subject/gt_arr/A04N11-R.npy,./dataset/PKU-subject/gt_boundary_arr/A04N11-R.npy
./dataset/PKU-subject/features/A04N12-L.npy,./dataset/PKU-subject/gt_arr/A04N12-L.npy,./dataset/PKU-subject/gt_boundary_arr/A04N12-L.npy
./dataset/PKU-subject/features/A04N12-M.npy,./dataset/PKU-subject/gt_arr/A04N12-M.npy,./dataset/PKU-subject/gt_boundary_arr/A04N12-M.npy
./dataset/PKU-subject/features/A04N12-R.npy,./dataset/PKU-subject/gt_arr/A04N12-R.npy,./dataset/PKU-subject/gt_boundary_arr/A04N12-R.npy
./dataset/PKU-subject/features/A04N13-L.npy,./dataset/PKU-subject/gt_arr/A04N13-L.npy,./dataset/PKU-subject/gt_boundary_arr/A04N13-L.npy
./dataset/PKU-subject/features/A04N13-M.npy,./dataset/PKU-subject/gt_arr/A04N13-M.npy,./dataset/PKU-subject/gt_boundary_arr/A04N13-M.npy
./dataset/PKU-subject/features/A05N01-L.npy,./dataset/PKU-subject/gt_arr/A05N01-L.npy,./dataset/PKU-subject/gt_boundary_arr/A05N01-L.npy
./dataset/PKU-subject/features/A05N01-M.npy,./dataset/PKU-subject/gt_arr/A05N01-M.npy,./dataset/PKU-subject/gt_boundary_arr/A05N01-M.npy
./dataset/PKU-subject/features/A05N01-R.npy,./dataset/PKU-subject/gt_arr/A05N01-R.npy,./dataset/PKU-subject/gt_boundary_arr/A05N01-R.npy
./dataset/PKU-subject/features/A05N04-L.npy,./dataset/PKU-subject/gt_arr/A05N04-L.npy,./dataset/PKU-subject/gt_boundary_arr/A05N04-L.npy
./dataset/PKU-subject/features/A05N04-R.npy,./dataset/PKU-subject/gt_arr/A05N04-R.npy,./dataset/PKU-subject/gt_boundary_arr/A05N04-R.npy
./dataset/PKU-subject/features/A05N05-L.npy,./dataset/PKU-subject/gt_arr/A05N05-L.npy,./dataset/PKU-subject/gt_boundary_arr/A05N05-L.npy
./dataset/PKU-subject/features/A05N05-M.npy,./dataset/PKU-subject/gt_arr/A05N05-M.npy,./dataset/PKU-subject/gt_boundary_arr/A05N05-M.npy
./dataset/PKU-subject/features/A05N05-R.npy,./dataset/PKU-subject/gt_arr/A05N05-R.npy,./dataset/PKU-subject/gt_boundary_arr/A05N05-R.npy
./dataset/PKU-subject/features/A05N06-L.npy,./dataset/PKU-subject/gt_arr/A05N06-L.npy,./dataset/PKU-subject/gt_boundary_arr/A05N06-L.npy
./dataset/PKU-subject/features/A05N06-R.npy,./dataset/PKU-subject/gt_arr/A05N06-R.npy,./dataset/PKU-subject/gt_boundary_arr/A05N06-R.npy
./dataset/PKU-subject/features/A05N08-L.npy,./dataset/PKU-subject/gt_arr/A05N08-L.npy,./dataset/PKU-subject/gt_boundary_arr/A05N08-L.npy
./dataset/PKU-subject/features/A05N08-M.npy,./dataset/PKU-subject/gt_arr/A05N08-M.npy,./dataset/PKU-subject/gt_boundary_arr/A05N08-M.npy
./dataset/PKU-subject/features/A05N08-R.npy,./dataset/PKU-subject/gt_arr/A05N08-R.npy,./dataset/PKU-subject/gt_boundary_arr/A05N08-R.npy
./dataset/PKU-subject/features/A05N09-L.npy,./dataset/PKU-subject/gt_arr/A05N09-L.npy,./dataset/PKU-subject/gt_boundary_arr/A05N09-L.npy
./dataset/PKU-subject/features/A05N09-M.npy,./dataset/PKU-subject/gt_arr/A05N09-M.npy,./dataset/PKU-subject/gt_boundary_arr/A05N09-M.npy
./dataset/PKU-subject/features/A05N09-R.npy,./dataset/PKU-subject/gt_arr/A05N09-R.npy,./dataset/PKU-subject/gt_boundary_arr/A05N09-R.npy
./dataset/PKU-subject/features/A05N10-L.npy,./dataset/PKU-subject/gt_arr/A05N10-L.npy,./dataset/PKU-subject/gt_boundary_arr/A05N10-L.npy
./dataset/PKU-subject/features/A05N10-M.npy,./dataset/PKU-subject/gt_arr/A05N10-M.npy,./dataset/PKU-subject/gt_boundary_arr/A05N10-M.npy
