feature,label,boundary
./dataset/PKU-view/features/A01N01-M.npy,./dataset/PKU-view/gt_arr/A01N01-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N01-M.npy
./dataset/PKU-view/features/A01N01-R.npy,./dataset/PKU-view/gt_arr/A01N01-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N01-R.npy
./dataset/PKU-view/features/A01N02-M.npy,./dataset/PKU-view/gt_arr/A01N02-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N02-M.npy
./dataset/PKU-view/features/A01N02-R.npy,./dataset/PKU-view/gt_arr/A01N02-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N02-R.npy
./dataset/PKU-view/features/A01N03-M.npy,./dataset/PKU-view/gt_arr/A01N03-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N03-M.npy
./dataset/PKU-view/features/A01N03-R.npy,./dataset/PKU-view/gt_arr/A01N03-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N03-R.npy
./dataset/PKU-view/features/A01N04-M.npy,./dataset/PKU-view/gt_arr/A01N04-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N04-M.npy
./dataset/PKU-view/features/A01N04-R.npy,./dataset/PKU-view/gt_arr/A01N04-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N04-R.npy
./dataset/PKU-view/features/A01N05-M.npy,./dataset/PKU-view/gt_arr/A01N05-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N05-M.npy
./dataset/PKU-view/features/A01N06-M.npy,./dataset/PKU-view/gt_arr/A01N06-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N06-M.npy
./dataset/PKU-view/features/A01N06-R.npy,./dataset/PKU-view/gt_arr/A01N06-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N06-R.npy
./dataset/PKU-view/features/A01N07-M.npy,./dataset/PKU-view/gt_arr/A01N07-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N07-M.npy
./dataset/PKU-view/features/A01N07-R.npy,./dataset/PKU-view/gt_arr/A01N07-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N07-R.npy
./dataset/PKU-view/features/A01N08-M.npy,./dataset/PKU-view/gt_arr/A01N08-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N08-M.npy
./dataset/PKU-view/features/A01N08-R.npy,./dataset/PKU-view/gt_arr/A01N08-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N08-R.npy
./dataset/PKU-view/features/A01N09-M.npy,./dataset/PKU-view/gt_arr/A01N09-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N09-M.npy
./dataset/PKU-view/features/A01N09-R.npy,./dataset/PKU-view/gt_arr/A01N09-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N09-R.npy
./dataset/PKU-view/features/A01N10-M.npy,./dataset/PKU-view/gt_arr/A01N10-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N10-M.npy
./dataset/PKU-view/features/A01N11-M.npy,./dataset/PKU-view/gt_arr/A01N11-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N11-M.npy
./dataset/PKU-view/features/A01N11-R.npy,./dataset/PKU-view/gt_arr/A01N11-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N11-R.npy
./dataset/PKU-view/features/A01N12-M.npy,./dataset/PKU-view/gt_arr/A01N12-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N12-M.npy
./dataset/PKU-view/features/A01N12-R.npy,./dataset/PKU-view/gt_arr/A01N12-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N12-R.npy
./dataset/PKU-view/features/A01N13-M.npy,./dataset/PKU-view/gt_arr/A01N13-M.npy,./dataset/PKU-view/gt_boundary_arr/A01N13-M.npy
./dataset/PKU-view/features/A01N13-R.npy,./dataset/PKU-view/gt_arr/A01N13-R.npy,./dataset/PKU-view/gt_boundary_arr/A01N13-R.npy
./dataset/PKU-view/features/A02N01-M.npy,./dataset/PKU-view/gt_arr/A02N01-M.npy,./dataset/PKU-view/gt_boundary_arr/A02N01-M.npy
